quality,free_sulfur_dioxide,total_sulfur_dioxide,sulphates,volatile_acidity,residual_sugar,citric_acid,pH,fixed_acidity,chlorides,alcohol,density
5,31,131,0.34,0.16,6.85,0.31,3.29,7.4,0.059,9.7,0.9952
7,26,107,0.41,0.28,2.7,0.29,3.32,6.5,0.038,11.6,0.9912
6,23,112,0.51,0.19,4,0.25,3.37,6.1,0.023,11.6,0.9923
6,29,133,0.54,0.3,1.5,0.46,3.12,7.1,0.066,12.7,0.9906
5,33,169,0.57,0.39,10.6,0.7,3.09,8.3,0.045,9.4,0.9976
7,35,105,0.44,0.25,1.4,0.25,3.3,6.2,0.03,11.1,0.9912
6,30,140,0.47,0.26,9.7,0.42,3.18,6.4,0.044,9.1,0.9962
7,18,101,0.65,0.32,2.4,0.33,3.21,7.8,0.037,11.7,0.9912
4,9,108,0.35,0.67,1.2,0.07,3.11,6,0.06,8.7,0.9931
6,24,155,0.59,0.25,8.1,0.38,3.33,6.8,0.046,10.2,0.9956
7,32,118,0.38,0.28,1.6,0.34,3,7.8,0.028,12.1,0.9901
5,37,157,0.43,0.31,7.3,0.26,3.09,7.2,0.05,9,0.99625
8,36,114,0.6,0.31,5,0.58,3.3,6.1,0.039,12.3,0.9909
5,50,162,0.38,0.25,12.4,0.19,3.35,5.9,0.047,9.5,0.9973
6,27,82,0.44,0.25,1.3,0.34,3.18,6.9,0.035,12.2,0.99045
7,41,113,0.4,0.11,8.8,0.34,3.42,6.7,0.043,9.3,0.9962
6,25,137,0.69,0.38,6.6,0.2,3.3,6.1,0.033,10.4,0.9938
6,43,147,0.54,0.23,1.6,0.32,3.29,6.8,0.026,12.5,0.9904
6,19,86,0.45,0.24,2,0.29,3.25,6.6,0.023,12.5,0.99
6,9,55,0.46,0.19,1.5,0.71,3.12,6,0.152,9.8,0.9927
6,31,141,0.59,0.26,5.2,0.36,3.16,7.3,0.04,11,0.9931